Дата;Рыночные цены на материал 2 (руб.)
2007-01-01;4,22
2007-02-01;3,99
2007-03-01;4,05
2007-04-01;4,34
2007-05-01;4,63
2007-06-01;4,76
2007-07-01;5,09
2007-08-01;5,13
2007-09-01;4,92
2007-10-01;4,87
2007-11-01;4,51
2007-12-01;4,31
2008-01-01;4,09
2008-02-01;4,04
2008-03-01;3,92
2008-04-01;4,28
2008-05-01;4,46
2008-06-01;4,83
2008-07-01;4,90
2008-08-01;4,99
2008-09-01;4,82
2008-10-01;4,78
2008-11-01;4,41
2008-12-01;4,14
2009-01-01;3,96
2009-02-01;3,79
2009-03-01;3,81
2009-04-01;4,06
2009-05-01;4,28
2009-06-01;4,52
2009-07-01;4,81
2009-08-01;4,93
2009-09-01;4,88
2009-10-01;4,54
2009-11-01;4,31
2009-12-01;4,05
2010-01-01;3,88
2010-02-01;3,61
2010-03-01;3,81
2010-04-01;4,03
2010-05-01;4,13
2010-06-01;4,40
2010-07-01;4,66
2010-08-01;4,79
2010-09-01;4,57
2010-10-01;4,40
2010-11-01;4,26
2010-12-01;3,82
