Дата;Доход в сегментах потребителей
2007-01-01;10186,17
2007-02-01;10249,57
2007-03-01;10353,63
2007-04-01;10213,59
2007-05-01;10372,17
2007-06-01;10126,11
2007-07-01;10251,93
2007-08-01;10460,49
2007-09-01;10461,54
2007-10-01;10546,85
2007-11-01;10450,44
2007-12-01;10943,99
2008-01-01;10776,68
2008-02-01;10986,28
2008-03-01;11020,13
2008-04-01;10985,44
2008-05-01;11065,51
2008-06-01;11247,38
2008-07-01;11297,44
2008-08-01;11411,88
2008-09-01;11240,50
2008-10-01;11213,20
2008-11-01;11375,78
2008-12-01;11297,48
2009-01-01;11633,28
2009-02-01;11418,50
2009-03-01;11760,35
2009-04-01;11837,64
2009-05-01;12496,93
2009-06-01;12850,33
2009-07-01;13923,14
2009-08-01;14491,99
2009-09-01;15652,94
2009-10-01;15734,98
2009-11-01;15765,75
2009-12-01;15348,48
2010-01-01;15704,65
2010-02-01;15711,13
2010-03-01;15613,85
2010-04-01;15460,56
2010-05-01;15259,08
2010-06-01;15659,55
2010-07-01;15251,75
2010-08-01;15250,42
2010-09-01;15557,11
2010-10-01;16170,13
2010-11-01;16232,20
2010-12-01;16284,05
