Дата;Рыночные цены на продукцию (руб.)
2007-01-01;61,75
2007-02-01;58,66
2007-03-01;52,67
2007-04-01;42,45
2007-05-01;41,96
2007-06-01;39,60
2007-07-01;38,81
2007-08-01;55,68
2007-09-01;59,22
2007-10-01;63,95
2007-11-01;68,02
2007-12-01;73,18
2008-01-01;70,30
2008-02-01;70,42
2008-03-01;62,79
2008-04-01;61,44
2008-05-01;54,06
2008-06-01;52,53
2008-07-01;51,83
2008-08-01;56,19
2008-09-01;58,34
2008-10-01;67,29
2008-11-01;69,69
2008-12-01;74,07
2009-01-01;69,79
2009-02-01;69,61
2009-03-01;66,18
2009-04-01;64,25
2009-05-01;59,43
2009-06-01;56,14
2009-07-01;60,45
2009-08-01;63,42
2009-09-01;67,83
2009-10-01;75,22
2009-11-01;78,68
2009-12-01;81,75
2010-01-01;81,63
2010-02-01;80,44
2010-03-01;80,53
2010-04-01;75,52
2010-05-01;71,61
2010-06-01;65,58
2010-07-01;65,41
2010-08-01;67,65
2010-09-01;66,87
2010-10-01;71,70
2010-11-01;76,25
2010-12-01;82,23
