Дата;Объём продаж продукции (шт.)
2007-01-01;21300
2007-02-01;20649
2007-03-01;19721
2007-04-01;18110
2007-05-01;18018
2007-06-01;17565
2007-07-01;17421
2007-08-01;19943
2007-09-01;20424
2007-10-01;21101
2007-11-01;21642
2007-12-01;22465
2008-01-01;21949
2008-02-01;21959
2008-03-01;20771
2008-04-01;20511
2008-05-01;19370
2008-06-01;19127
2008-07-01;18982
2008-08-01;19609
2008-09-01;19847
2008-10-01;21134
2008-11-01;21476
2008-12-01;22068
2009-01-01;21443
2009-02-01;21323
2009-03-01;20826
2009-04-01;20502
2009-05-01;19861
2009-06-01;19388
2009-07-01;20199
2009-08-01;20708
2009-09-01;21552
2009-10-01;22627
2009-11-01;23102
2009-12-01;23429
2010-01-01;23432
2010-02-01;23204
2010-03-01;23148
2010-04-01;22316
2010-05-01;21639
2010-06-01;20765
2010-07-01;20608
2010-08-01;18593
2010-09-01;18437
2010-10-01;19184
2010-11-01;19779
2010-12-01;20587
